Accident_Index,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority,Light_Conditions,Weather_Conditions,Road_Surface_Conditions
200901BS70001,-0.201349,51.512273,1,2,2,1,2009-01-01,5,15:11,12,1,1,1
200901BS70002,-0.199248,51.514399,1,2,2,11,2009-01-05,2,10:59,12,1,1,2
200901BS70003,-0.179599,51.486668,1,3,2,1,2009-01-04,1,14:19,12,1,1,1
200901BS70004,-0.20311,51.507804,1,2,2,1,2009-01-05,2,8:10,12,1,8,4
200901BS70005,-0.173445,51.482076,1,2,2,1,2009-01-06,3,17:25,12,4,1,1
200901BS70006,-0.185525,51.493415,1,3,2,3,2009-01-01,5,11:48,12,1,1,1
200901BS70007,-0.178561,51.480177,1,2,2,1,2009-01-08,5,13:58,12,1,1,1
200901BS70008,-0.178524,51.491957,1,3,1,1,2009-01-02,6,13:18,12,1,1,1
200901BS70009,-0.167395,51.49646,1,3,1,2,2009-01-07,4,12:15,12,1,1,1
200901BS70010,-0.183275,51.48115,1,3,1,1,2009-01-10,7,9:52,12,1,8,2
200901BS70011,-0.173445,51.482076,1,3,2,1,2009-01-07,4,0:09,12,4,1,1
200901BS70012,-0.183013,51.494995,1,3,1,1,2009-01-16,6,17:49,12,4,1,1
200901BS70015,-0.206779,51.498778,1,3,2,1,2009-01-12,2,14:00,12,1,2,2
200901BS70016,-0.209082,51.506187,1,3,2,1,2009-01-09,6,8:15,12,1,2,2
200901BS70017,-0.169548,51.493077,1,3,2,1,2009-01-17,7,12:15,12,1,1,1
200901BS70019,-0.173445,51.482076,1,2,2,1,2009-01-25,1,22:05,12,4,1,1
